id,url,createdAt,text,authorUsername,authorName,authorFollowers,likeCount,replyCount,retweetCount,quoteCount,bookmarkCount,viewCount,lang,conversationId,inReplyToUsername,depth
"2098084278504702370","https://x.com/DevonFrohne/status/2098084278504702370","Thu Sep 10 16:20:47 +0000 2026","@eminimnim Would love to see the results of this all the way through to playing some beats...","DevonFrohne","▷Ξ▽O","1397","129","1","0","0","0","17470","en","2098072497182666987","eminimnim","1"
"2098089862205174209","https://x.com/ainafahy/status/2098089862205174209","Thu Sep 10 16:42:58 +0000 2026","@eminimnim ouuhhh vibe hardware sounds like a fun activity let me jump on the train","ainafahy","Aïna","10","7","1","0","0","0","9074","en","2098072497182666987","eminimnim","1"
"2098100720935248341","https://x.com/eminimnim/status/2098100720935248341","Thu Sep 10 17:26:07 +0000 2026","@DevonFrohne yes will post the final assembly","eminimnim","nim","2049","156","5","0","0","8","15853","en","2098072497182666987","DevonFrohne","2"
"2098104031662977286","https://x.com/eminimnim/status/2098104031662977286","Thu Sep 10 17:39:16 +0000 2026","@ainafahy crazy to see it design the whole thing cad","eminimnim","nim","2049","1","0","0","0","1","8012","en","2098072497182666987","ainafahy","2"
"2098108180039643468","https://x.com/DevonFrohne/status/2098108180039643468","Thu Sep 10 17:55:45 +0000 2026","@eminimnim Sick! Can’t wait to see it.","DevonFrohne","▷Ξ▽O","1397","3","1","0","0","0","1129","en","2098072497182666987","eminimnim","3"
"2098118687060602962","https://x.com/golnik/status/2098118687060602962","Thu Sep 10 18:37:30 +0000 2026","@eminimnim The saxophones are getting louder","golnik","Tim Golnik","208","4","0","0","0","0","821","en","2098072497182666987","eminimnim","1"
"2098121003348193305","https://x.com/Lucasdickey/status/2098121003348193305","Thu Sep 10 18:46:43 +0000 2026","@eminimnim @DevonFrohne I would likely buy ;)","Lucasdickey","Lucas Dickey","1342","1","0","0","0","0","74","en","2098072497182666987","eminimnim","3"
"2098121171095236904","https://x.com/Lucasdickey/status/2098121171095236904","Thu Sep 10 18:47:23 +0000 2026","@eminimnim @jugendingenieur ☝️ in case they wanted to be flattered by your love of their product","Lucasdickey","Lucas Dickey","1342","2","0","0","0","0","544","en","2098072497182666987","eminimnim","1"
"2098125661063753775","https://x.com/seflless/status/2098125661063753775","Thu Sep 10 19:05:13 +0000 2026","@eminimnim Noice","seflless","Francois Laberge","4013","1","0","0","0","0","376","en","2098072497182666987","eminimnim","1"
"2098128736797307360","https://x.com/logerhaus/status/2098128736797307360","Thu Sep 10 19:17:26 +0000 2026","@eminimnim Would love to see the prompt(s) that got you here. Very interesting","logerhaus","Logerhaus","99","40","4","0","0","0","20717","en","2098072497182666987","eminimnim","1"
"2098130201263694057","https://x.com/eminimnim/status/2098130201263694057","Thu Sep 10 19:23:16 +0000 2026","@logerhaus i'll share soon!","eminimnim","nim","2049","58","5","0","0","8","19069","en","2098072497182666987","logerhaus","2"
"2098131984703017181","https://x.com/SebastienLintz/status/2098131984703017181","Thu Sep 10 19:30:21 +0000 2026","@eminimnim Insane!","SebastienLintz","Sébastien Lintz","7837","1","0","0","0","0","479","tr","2098072497182666987","eminimnim","1"
"2098133212241269062","https://x.com/lucasban/status/2098133212241269062","Thu Sep 10 19:35:13 +0000 2026","@eminimnim How much did it cost you?","lucasban","lucasban","105","0","0","0","0","0","901","en","2098072497182666987","eminimnim","1"
"2098133652081103232","https://x.com/databusai/status/2098133652081103232","Thu Sep 10 19:36:58 +0000 2026","@eminimnim Very interesting.","databusai","Erick","7","1","0","0","0","0","173","en","2098072497182666987","eminimnim","1"
"2098133674353193427","https://x.com/gurungbuilds/status/2098133674353193427","Thu Sep 10 19:37:04 +0000 2026","@eminimnim gonna blow up to 100k views soon haha v cool","gurungbuilds","Gurung | floodreliefnepal.com","1354","1","0","0","0","0","176","en","2098072497182666987","eminimnim","1"
"2098134419039191259","https://x.com/rocketjohnsen/status/2098134419039191259","Thu Sep 10 19:40:01 +0000 2026","@eminimnim Have you tried assembling it yet?","rocketjohnsen","Peter Johnsen, PhD","2361","1","0","0","0","0","457","en","2098072497182666987","eminimnim","1"
"2098134709150654485","https://x.com/_esk_kse_/status/2098134709150654485","Thu Sep 10 19:41:10 +0000 2026","@eminimnim Can we see pictures of the finished product?","_esk_kse_","esk","2717","5","1","0","0","0","5036","en","2098072497182666987","eminimnim","1"
"2098135075523383417","https://x.com/deva0x/status/2098135075523383417","Thu Sep 10 19:42:38 +0000 2026","@eminimnim What websites did it order from? Trying to make something else","deva0x","0xDeva | 9mm.pro","1664","0","0","0","0","0","378","en","2098072497182666987","eminimnim","1"
"2098135132322324820","https://x.com/haydonryan/status/2098135132322324820","Thu Sep 10 19:42:51 +0000 2026","@eminimnim Expensive machine - with that rasberry pi in there!","haydonryan","Haydon Ryan 🇦🇺🇺🇸","258","2","0","0","0","0","888","en","2098072497182666987","eminimnim","1"
"2098135277734883749","https://x.com/Eric_M_Stevens/status/2098135277734883749","Thu Sep 10 19:43:26 +0000 2026","@eminimnim please make this","Eric_M_Stevens","Eric Stevens","247","1","0","0","0","0","125","en","2098072497182666987","eminimnim","1"
"2098136576660226364","https://x.com/trollied/status/2098136576660226364","Thu Sep 10 19:48:36 +0000 2026","@eminimnim I call bullshit. This is an advertisement for your company. You haven’t actually made this yet, and it also hasn’t made a single sound.","trollied","trollied","297","33","2","0","0","0","1291","en","2098072497182666987","eminimnim","1"
"2098136883398394043","https://x.com/Julius48024685/status/2098136883398394043","Thu Sep 10 19:49:49 +0000 2026","@eminimnim Vibe hardware has been around for some time now, check out @Atech_dev!","Julius48024685","Julius Thunström","9","22","3","1","0","36","17011","en","2098072497182666987","eminimnim","1"
"2098136932312334478","https://x.com/davidtphung/status/2098136932312334478","Thu Sep 10 19:50:00 +0000 2026","@eminimnim @andrewjiang @ccarella","davidtphung","David T Phung 🇺🇸","2841","1","0","0","0","0","136","qam","2098072497182666987","eminimnim","1"
"2098137027027902734","https://x.com/kenyondigital/status/2098137027027902734","Thu Sep 10 19:50:23 +0000 2026","@eminimnim This is so cool. With 3D printers and Astra, I can't wait to see some of amazing MIDI controllers, synths, and other inspiration musical creations people make.","kenyondigital","Matt Kenyon","375","61","4","2","1","5","24774","en","2098072497182666987","eminimnim","1"
"2098137078928138333","https://x.com/preyforge/status/2098137078928138333","Thu Sep 10 19:50:35 +0000 2026","@eminimnim i keep agent runs interruptible with an explicit yield condition before they touch a real-world step; a great CAD preview is not permission to keep ordering.","preyforge","Preyforge","51","42","1","0","0","13","17468","en","2098072497182666987","eminimnim","1"
"2098137702327820570","https://x.com/dannyaroslavski/status/2098137702327820570","Thu Sep 10 19:53:04 +0000 2026","@eminimnim holy vibe hardware","dannyaroslavski","Danny Yaroslavski","2556","1","0","0","0","0","344","en","2098072497182666987","eminimnim","1"
"2098138558049522039","https://x.com/wirelyss/status/2098138558049522039","Thu Sep 10 19:56:28 +0000 2026","@eminimnim This is crazy. Any idea approx how much it cost in credits to do something like this?","wirelyss","Wirelyss 👁️‍🗨️💫","34078","7","0","0","0","0","510","en","2098072497182666987","eminimnim","1"
"2098138739633475909","https://x.com/pgerrits/status/2098138739633475909","Thu Sep 10 19:57:11 +0000 2026","@eminimnim @kieranklaassen remember what we were talking about yesterday...","pgerrits","Patrick Gerrits","157","3","1","0","0","0","77","en","2098072497182666987","eminimnim","1"
"2098138761448046636","https://x.com/MattLuceen/status/2098138761448046636","Thu Sep 10 19:57:16 +0000 2026","@eminimnim Oh, shit!!","MattLuceen","Matt","327","1","0","0","0","0","179","en","2098072497182666987","eminimnim","1"
"2098139253574128103","https://x.com/Koningsbruggen/status/2098139253574128103","Thu Sep 10 19:59:14 +0000 2026","@eminimnim does it work?","Koningsbruggen","Joey van Koningsbruggen","2212","0","0","0","0","0","100","en","2098072497182666987","eminimnim","1"
"2098139285157237229","https://x.com/Cultureofsports/status/2098139285157237229","Thu Sep 10 19:59:21 +0000 2026","@eminimnim Very cool","Cultureofsports","Sports Culture","48","1","0","0","0","0","50","en","2098072497182666987","eminimnim","1"
"2098139696438112503","https://x.com/flashback_days/status/2098139696438112503","Thu Sep 10 20:00:59 +0000 2026","@eminimnim We want to see finished product and price!","flashback_days","Luther Blissett (@lutherblissett.lens)","144","1","0","0","0","0","521","en","2098072497182666987","eminimnim","1"
"2098139743510749384","https://x.com/jmarcelino/status/2098139743510749384","Thu Sep 10 20:01:11 +0000 2026","@eminimnim Sure buddy, you’ll make it someday","jmarcelino","Jose Marcelino","3876","1","0","0","0","0","82","en","2098072497182666987","eminimnim","1"
"2098139763127599615","https://x.com/RutkowskiHQ/status/2098139763127599615","Thu Sep 10 20:01:15 +0000 2026","@eminimnim Okay. Does it work?","RutkowskiHQ","Bartek Rutkowski","66","3","0","0","0","0","599","en","2098072497182666987","eminimnim","1"
"2098139809940144560","https://x.com/eminimnim/status/2098139809940144560","Thu Sep 10 20:01:26 +0000 2026","@Julius48024685 @Atech_dev oh this is exactly what I need!","eminimnim","nim","2049","3","0","0","0","3","15425","en","2098072497182666987","Julius48024685","2"
"2098139826671558992","https://x.com/ardo_tech/status/2098139826671558992","Thu Sep 10 20:01:30 +0000 2026","@eminimnim So you stole somebodies else work and made it your own. Nice.","ardo_tech","ardo_tech","20","1","0","0","0","0","285","en","2098072497182666987","eminimnim","1"
"2098139855611892115","https://x.com/mubarak_marafa/status/2098139855611892115","Thu Sep 10 20:01:37 +0000 2026","@eminimnim Wait. Actually?! 🤯","mubarak_marafa","m0b1","2348","0","0","0","0","0","141","en","2098072497182666987","eminimnim","1"
"2098139902424514642","https://x.com/AMIRrorROY/status/2098139902424514642","Thu Sep 10 20:01:48 +0000 2026","@eminimnim Interesting would love to get more detail on your process","AMIRrorROY","amir","260","1","1","0","0","0","212","en","2098072497182666987","eminimnim","1"
